"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"1442","54.713886110","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3719, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"1443","54.713895614","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3720, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"1448","54.719929453","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3721, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1452","54.723926483","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3722, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1458","54.732001647","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3723, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1462","54.736010867","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3724, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1470","54.750005911","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3725, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1476","54.753406880","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3727, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1480","54.753429802","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3726, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1481","54.753435074","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3728, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
